exactPrice,sqftPrice,securityDeposit,propertyType,maintenanceCharges,locality,furnishing,flrNum,firstMonthCharges,totalFlrNum,city,bedrooms,bathrooms,RentOrSale,Long,Lat,postedOn_DaysAgo
240000.0,145,312,3,256,3119,1,3,1945,4,12,2,1,0,5043,5067,657
12000.0,20,54,3,111,2633,1,3,296,1,12,1,1,0,4829,4853,658
17000.0,8,312,2,256,2775,1,6,1945,12,12,2,2,0,4827,4851,656
5000.0,919,312,2,256,2338,0,12,1945,6,12,0,0,0,4342,4362,654
12000.0,919,82,3,121,2338,3,0,410,1,12,1,1,0,1125,1129,653
18000.0,35,312,3,256,1134,3,0,1945,2,12,1,1,0,1919,1955,653
8500.0,8,312,3,121,2313,1,1,52,6,12,1,0,0,4188,4204,653
10000.0,10,95,3,151,2633,3,6,470,1,12,1,1,0,4829,4853,653
11000.0,919,49,1,256,2395,3,0,292,12,12,2,0,0,4289,4307,652
7000.0,20,18,2,256,2865,3,12,95,12,12,1,0,0,5204,5225,652
7000.0,26,18,2,256,2865,3,12,95,12,12,1,0,0,5204,5225,653
12000.0,72,312,3,256,708,1,2,1945,2,12,0,0,0,1300,1148,652
14000.0,10,312,3,256,3337,1,2,1945,2,12,2,1,0,1548,1558,652
12000.0,25,99,3,256,2319,3,2,579,6,12,1,0,0,4420,4438,652
7500.0,919,312,1,256,2353,3,2,1945,2,12,1,1,0,4528,4552,657
10000.0,10,312,3,256,2633,3,0,1945,2,12,2,1,0,4829,4853,698
15000.0,36,92,3,140,3035,0,5,643,1,12,0,0,0,5294,5316,709
27000.0,19,132,1,121,3444,1,0,728,12,16,2,1,0,6206,6241,700
120000.0,120,312,1,256,2184,3,0,1945,6,16,2,4,0,4047,4061,667
135000.0,70,254,2,140,3318,3,0,1782,12,16,2,2,0,6011,6044,700
75000.0,78,312,1,256,3444,1,0,1945,12,16,2,2,0,6330,6365,675
55000.0,19,207,1,121,3553,1,0,1373,12,16,2,2,0,6404,6441,685
40000.0,35,115,1,121,3234,0,1,1172,12,16,2,1,0,5977,6010,691
75000.0,31,147,2,121,3444,1,0,1628,12,16,2,2,0,6330,6365,691
125000.0,77,270,1,140,3485,1,0,1760,12,16,2,2,0,6298,6567,700
80000.0,35,183,1,121,3318,3,0,1516,5,16,2,2,0,6103,6139,685
27000.0,26,132,2,59,3085,1,12,1051,12,16,1,1,0,5127,5149,685
150000.0,90,312,1,256,3656,0,1,1945,12,16,2,4,0,4111,4126,660
60000.0,72,312,1,256,3318,1,0,1945,12,16,1,1,0,6103,6139,675
43000.0,44,178,1,121,3318,3,6,1100,12,16,2,1,0,6011,6044,685
110000.0,67,312,5,256,2216,3,12,1945,12,16,4,4,0,4088,4103,689
110000.0,44,312,2,256,3399,3,6,1945,5,16,2,4,0,5271,5294,660
60000.0,60,205,1,121,3234,1,1,1486,12,16,2,2,0,5977,6010,691
200000.0,45,312,1,256,3234,1,0,1945,12,16,4,4,0,5587,5614,675
40000.0,65,312,2,256,3391,1,6,1945,12,16,2,2,0,4964,4988,689
35000.0,53,312,2,256,2539,0,6,1945,12,16,2,1,0,4786,4809,673
120000.0,44,249,1,121,3781,3,0,1701,12,16,2,2,0,7011,7056,685
70000.0,60,312,2,256,3584,1,6,1945,12,16,2,2,0,6765,6805,673
120000.0,59,312,1,256,2184,1,0,1945,12,16,2,4,0,4047,4061,671
